symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
PONDUSDT,-0.00056000,-4.452,0.01240130,0.01261000,0.01202000,15136.35000000,0.01202000,82471.11000000,0.01204000,33410.47000000,0.01258000,0.01303000,0.01188000,203332224.36000000,2521584.38756680,1676939608861,1677026008861,24910150,24925027,14878
DEGOUSDT,-0.16100000,-5.606,2.84120533,2.87100000,2.71100000,76.58000000,2.71100000,36.88000000,2.71400000,366.29000000,2.87200000,2.95600000,2.67000000,1641929.28000000,4665058.22269000,1676939603721,1677026003721,22889774,22910494,20721
ALICEUSDT,-0.02400000,-1.171,2.09166816,2.04900000,2.02500000,34.68000000,2.02600000,97.34000000,2.02700000,848.35000000,2.04900000,2.24700000,1.96400000,5900024.26000000,12340892.88021000,1676939611872,1677026011872,80905255,80975590,70336
LINAUSDT,0.00415600,46.865,0.01345468,0.00886200,0.01302400,22823.04000000,0.01302300,23648.87000000,0.01303200,27819.85000000,0.00886800,0.01758000,0.00881700,11616836848.05000000,156300777.47787755,1676939612808,1677026012808,34406407,35067760,661354
PERPUSDT,-0.04360000,-5.201,0.84958876,0.83837000,0.79476000,830.86000000,0.79477000,127.25000000,0.79541000,398.42000000,0.83836000,0.91218000,0.78005000,5796729.63000000,4924836.36326630,1676939612646,1677026012646,16979387,17008339,28953
RAMPUSDT,0.00000000,0.000,0.00000000,0.05240000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670821099247,1670907499247,-1,-1,0
SUPERUSDT,-0.00660000,-3.892,0.16638427,0.16960000,0.16300000,182.00000000,0.16280000,93.00000000,0.16300000,1295.00000000,0.16960000,0.17370000,0.15910000,15253279.00000000,2537905.62320000,1676939589158,1677025989158,24898679,24914368,15690
CFXUSDT,-0.02830000,-8.130,0.32455655,0.34830000,0.31980000,2636.00000000,0.31980000,201.00000000,0.31990000,3572.00000000,0.34810000,0.36690000,0.29060000,649794853.00000000,210895178.02720000,1676939612474,1677026012474,20341764,20949137,607374
EPSUSDT,0.00000000,0.000,0.00000000,0.16790000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1670820743643,1670907143643,-1,-1,0
AUTOUSDT,-6.20000000,-1.783,342.24655495,348.20000000,341.60000000,0.07400000,341.10000000,0.58600000,341.60000000,0.02700000,347.80000000,360.00000000,331.10000000,6467.43700000,2213458.03260000,1676939611476,1677026011476,8873126,8887799,14674
TKOUSDT,0.01620000,4.309,0.41039291,0.37590000,0.39220000,157.50000000,0.39230000,329.00000000,0.39280000,46.70000000,0.37600000,0.45950000,0.36790000,46669882.90000000,19152989.17946000,1676939614027,1677026014027,25338353,25442651,104299
